,Make,Model,Year of manufacture,Kilometer,Previous owners,Body style,Horsepower,Cubic capacity (ccm),Cylinders,Doors,Steering,Gearbox,Gears,Transmission,Front breaks,Rear breaks,Fuel type,Price (£)
6002,Mercedes-Benz,E 50 AMG,1997,195000,1,Saloon (4-doors),347,4973,8,4,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,16969
6014,Dodge,Challenger SRT Hellcat Redeye,2020,16500,2,Coupe,717,6166,8,2,Left (LHD),Automatic,8,Rear,Disc,Disc,Petrol,96163
6015,Volkswagen,T1 Samba,1966,180,1,Bus,44,1493,4,4,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,116611
6020,Jaguar,Sovereign 3.6,1989,160000,4,Saloon (4-doors),202,3590,6,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,12956
6023,Datsun,1600 SSS,1970,73971,1,Saloon (4-doors),109,1595,4,4,Right (RHD),Manual,4,Rear,Disc,Drum,Petrol,8702
6025,Elva,Mk VII,1989,40234,2,Racing car (Open),220,3100,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,23496
6028,Porsche,911 Carrera 4S,2021,9000,1,Coupe,450,2981,6,2,Left (LHD),Manual,8,4WD,Disc,Disc,Petrol,160993
6029,BMW,Z8,2002,73971,1,Convertible (Roadster),400,4941,8,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,204504
6039,Triumph,TR 6,1973,34794,5,Convertible (Roadster),106,2498,6,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,30415
6040,TVR,"Chimaera 4,0",1996,74996,1,Convertible,240,3950,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,37376
6042,Mercedes-Benz,450 SL,1974,148724,2,Convertible (Roadster),225,4520,8,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,34766
6049,Citroën,2 CV 6 Club,1991,44,6,Saloon (4-doors),29,597,2,4,Left (LHD),Manual,4,Front,Drum,Drum,Petrol,36985
6054,Mercedes-Benz,190 SL,1959,6650,6,Convertible (Roadster),105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,106603
6062,Volvo,XC70 2.5T AWD,2004,147000,2,Estate,210,2521,5,5,Left (LHD),Automatic,5,4WD,Disc,Disc,Petrol,10399
6101,Alpine,A 110 GT,2022,38,1,Coupe,300,1798,4,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,119657
6110,Aston Martin,"Vantage V8 ""007 Edition""",2021,750,1,Coupe,510,3982,8,2,Left (LHD),Automatic,8,Rear,Disc,Disc,Petrol,190580
6120,Mercedes-Benz,SL 350,2010,145906,3,Convertible (Roadster),316,3498,6,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,29490
6124,Ferrari,Testarossa,1991,56000,2,Coupe,390,4943,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,104419
6126,McLaren,675LT,2016,63,6,Coupe,675,3799,8,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,274122
6129,FIAT,500 C Giardiniera,1900,6011,6,Estate,16,569,4,0,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,8702
6130,FIAT,500 B Furgonato,1954,99263,6,Estate (Panel Van),16,569,4,4,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,17318
6135,BMW,327,1938,32448,1,Convertible,55,1971,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,143501
6147,Bentley,Turbo R,1995,81381,6,Saloon (4-doors),360,6750,8,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,26020
6151,BMW,1600 - 2,1970,84785,3,Convertible (2-doors),130,1991,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,24279
6159,Mercedes-Benz,220 S Cabriolet,1956,64845,1,Convertible,100,2195,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,82672
6168,Citroën,HY,1965,54000,2,Bus,58,1,4,3,Left (LHD),Manual,3,Front,Drum,Drum,Petrol,40901
6188,Subaru,Impreza WRX STi spec C TYPE RA-R,2006,146948,2,Saloon,229,2457,4,4,Left (LHD),Manual,5,4WD,Disc,Disc,Petrol,20450
6198,Ferrari,456M GT,2002,60082,3,Coupe,442,5,12,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,73883
6230,Mercedes-Benz,450 SL,1980,138029,2,Convertible (Roadster),217,4520,8,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,19406
6248,Porsche,911 Turbo 3.3,1978,2000,1,Coupe,410,3299,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,117481
6253,Porsche,911 Carrera S,2007,79000,1,Coupe,355,3824,6,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,55695
6259,Porsche,911 Turbo,2008,90000,1,Coupe,480,3600,6,2,Left (LHD),Manual,6,4WD,Disc,Disc,Petrol,100076
6264,Chrysler,Sebring 2.7 V6,2002,118000,1,Convertible,203,2736,6,2,Left (LHD),Automatic,4,Front,Disc,Disc,Petrol,4177
6276,Honda,S 2000,2005,59300,1,Convertible (Roadster),241,1997,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,43424
6278,Aston Martin,V12 Vanquish S,2005,59905,2,Coupe,528,5935,12,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,143501
6279,Bentley,Continental Flying Spur,2005,27500,1,Saloon (4-doors),560,5998,12,4,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,43424
6281,Lamborghini,Gallardo LP 560-4,2008,50300,3,Coupe,560,5204,10,2,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,100860
6283,Ferrari,488 GTB,2016,33300,2,Coupe,670,3902,8,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,178310
6284,Mercedes-Benz,G 63 AMG (LWB),2016,64100,1,4x4,571,5461,8,4,Left (LHD),Automatic,7,4WD,Disc,Disc,Petrol,78234
6285,Porsche,911 Turbo 3.3,1988,132600,3,Coupe,300,3299,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,173959
6286,Audi,TT 1.8 T quattro sport,2005,54700,4,Coupe,240,1781,4,2,Left (LHD),Manual,6,4WD,Disc,Disc,Petrol,39073
6322,Mercedes-Benz,"280 SE 3,5",1970,56120,2,Coupe,200,3499,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,69183
6356,Lamborghini,Diablo VT 6.0,2000,7497,3,Coupe,550,5992,12,2,Left (LHD),Manual,5,4WD,Disc,Disc,Petrol,465573
6360,Porsche,911 GT2,2008,111145,2,Coupe,530,3600,6,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,169695
6410,Bentley,Bentayga W12,2018,41843,2,4x4,608,5950,12,5,Right (RHD),Automatic,8,4WD,Disc,Disc,Petrol,100000
6439,Morgan,Plus Six,2021,5734,1,Convertible (Roadster),340,2998,6,2,Right (RHD),Automatic,8,Rear,Disc,Disc,Petrol,62500
6444,Morgan,Plus 4 2-Seater,1998,39641,3,Convertible (Roadster),135,1994,4,2,Right (RHD),Manual,5,Rear,Disc,Drum,Petrol,28000
6457,Mercedes-Benz,220 SE b,1965,77454,6,Coupe,120,2195,6,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,51779
6458,Land Rover,90,1987,5693,2,4x4 (Open),240,3900,8,3,Left (LHD),Manual,5,4WD,Disc,Drum,Petrol,126183
6463,Jaguar,XJ-SC 5.3,1987,65620,3,Convertible (Targa),265,5343,12,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,25237
6473,Ferrari,Testarossa,1987,129206,2,Coupe,390,4943,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,106603
6475,Mercedes-Benz,190 SL,1959,98856,4,Convertible (Roadster),105,1886,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,121745
6485,Mercedes-Benz,190 SL,1962,65000,3,Convertible (Roadster),105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,112695
6501,Mercedes-Benz,220 S Cabriolet,1957,50188,6,Convertible,100,2195,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,113086
6502,Jaguar,XJ 8 3.5,2007,142223,6,Saloon (4-doors),258,3555,8,4,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,26020
6506,Porsche,911 2.2 T,1970,73971,2,Coupe,125,2195,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,60829
