,Make,Series,Model,Manufacturer code,First registration date,Year of manufacture,Mileage (read),Chassis number,Engine number,Gearbox number,Matching numbers,Previous owners,Body style,Power (kW/hp),Cubic capacity (ccm),Cylinders,Doors,Steering,Gearbox,Gears,Transmission,Front breaks,Rear breaks,Fuel type,Price (£)
5149,Mercedes-Benz,DS,190 D,Rekord B,08/1986,1986,"217,677 km",Not provided,Not provided,Not provided,No,3,Saloon (4-doors),53/72,1997,4,4,Left (LHD),Manual,Not provided,Rear,Disc,Not provided,Diesel,"11,226"
5150,Mercedes-Benz,Panda,190 D,V600,01/1986,1986,"236,281 km",Not provided,Not provided,Not provided,No,> 6,Saloon (4-doors),53/72,1997,4,4,Left (LHD),Manual,Not provided,Rear,Disc,Not provided,Diesel,"3,394"
5151,Mercedes-Benz,Silver Shadow,190 D,V600,08/1986,1986,"262,032 km",Not provided,Not provided,Not provided,No,> 6,Saloon (4-doors),53/72,1997,4,4,Left (LHD),Manual,Not provided,Rear,Disc,Not provided,Diesel,"3,046"
5152,Mercedes-Benz,914,190 D 2.5 Turbo,Mark II,06/1989,1989,"185,092 km",Not provided,Not provided,Not provided,No,1,Saloon,93/126,2497,5,4,Left (LHD),Automatic,Not provided,Rear,Not provided,Not provided,Diesel,"12,966"
5153,Mercedes-Benz,Fulvia,190 D,Serie IIA,05/1986,1986,"102,413 km",Not provided,Not provided,Not provided,No,> 6,Saloon (4-doors),53/72,1997,4,4,Left (LHD),Manual,Not provided,Rear,Disc,Not provided,Diesel,"12,966"
5154,Mercedes-Benz,500,190 D,"""Urmodell""",04/1985,1985,"136,034 km",Not provided,Not provided,Not provided,No,> 6,Saloon (4-doors),53/72,1998,4,4,Left (LHD),Manual,Not provided,Rear,Disc,Not provided,Diesel,"13,837"
5155,FIAT,XJ S,Barchetta,"""Urmodell""",07/2003,2003,"49,917 mls",Not provided,Not provided,Not provided,No,2,Convertible (Roadster),96/131,1747,4,2,Left (LHD),Manual,5,Front,Disc,Disc,Petrol,"10,356"
5156,Lancia,Fulvia,Appia,M-P,01/1962,1962,"52,855 km",Not provided,Not provided,Not provided,No,3,Saloon,35/48,1090,4,4,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"13,053"
5157,Volkswagen,Traction Avant,Golf Mk II 1.6,B Serie III,05/1986,1986,"77,347 km",Not provided,Not provided,Not provided,No,> 6,Saloon (3-doors),66/90 (Factory: 53/72),1595,4,3,Left (LHD),Automatic,Not provided,Front,Not provided,Not provided,Not provided,"3,037"
5158,Mercedes-Benz,Giulietta,300 D,"""Classic""",04/1986,1986,"527,606 km",Not provided,Not provided,Not provided,No,> 6,Saloon (4-doors),65/88 (Factory: 80/109),2998,6,4,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Diesel,"3,037"
5159,Mercedes-Benz,500,300 D,05th generation,10/1986,1986,"122,013 km",Not provided,Not provided,Not provided,No,> 6,Saloon (4-doors),65/88 (Factory: 80/109),2998,6,4,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Diesel,"10,356"
5160,Mercedes-Benz,CL-Class,250 D,Typ 330,08/1986,1986,"192,517 km",Not provided,Not provided,Not provided,No,> 6,Saloon,66/90,2497,5,4,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Not provided,"5,134"
5161,Mercedes-Benz,Impreza,230 E,Typ 105.93,08/1985,1985,"232,013 km",Not provided,Not provided,Not provided,No,> 6,Saloon (4-doors),100/136,2300,4,4,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"3,037"
5162,Mercedes-Benz,Eldorado,200 D,B,05/1985,1985,"302,780 km",Not provided,Not provided,Not provided,No,> 6,Saloon,53/72,1997,4,4,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Not provided,"4,264"
5163,Mercedes-Benz,911,200 D,Typ 11,11/1981,1981,"364,962 km",Not provided,Not provided,Not provided,No,2,Saloon,40/55,1987,4,4,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Not provided,"7,745"
