,Make,Series,Model,Manufacturer code,First registration date,Year of manufacture,Mileage (read),Chassis number,Engine number,Gearbox number,Matching numbers,Previous owners,Body style,Power (kW/hp),Cubic capacity (ccm),Cylinders,Doors,Steering,Gearbox,Gears,Transmission,Front breaks,Rear breaks,Fuel type,Price (£)
218,Morgan,Dino,4/4 1600,C1,Not provided,1977,"53,000 km",B4123,7E20-A2518,Not provided,No,Not provided,Convertible (Roadster),68/93,1598,4,Not provided,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"34,635"
219,Jaguar,Mistral,E-Type,W 189,Not provided,1969,780 km,Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),154/209,4235,6,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"102,687"
220,Mercedes-Benz,Sprite,GL 500 4MATIC,Type 14,Not provided,2010,"8,500 km",Not provided,Not provided,Not provided,No,Not provided,4x4,285/388,5461,8,5,Left (LHD),Automatic,7,4WD,Disc,Disc,Petrol,"43,512"
221,Jaguar,6C,XK 140 DHC,W 201,Not provided,1957,"66,900 km",S819209,C9577 8S,Not provided,No,Not provided,Convertible,142/193,3442,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,"102,687"
222,Aston Martin,1900,DB 2/4 Mk II,V20,08/1956,1956,"42,000 mls",AM 300/1149,VB6J745,Not provided,Yes,Not provided,Coupe,103/140,2922,6,3,Right (RHD),Manual,Not provided,Rear,Not provided,Not provided,Not provided,"190,580"
223,Porsche,A 310,911 SC 3.0,X760,06/1983,1983,"149,000 mls",Not provided,Not provided,Not provided,Yes,Not provided,Convertible,132/180,2994,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,"53,954"
224,Porsche,Golf,911 Carrera 3.2,Serie II,Not provided,1987,"8,000 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,170/231,3164,6,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"60,046"
225,Abarth,S-Class,Fiat 750 Zagato,E46,Not provided,1959,158 mls,576569,628622,Not provided,No,Not provided,Coupe,32/43,747,4,2,Left (LHD),Manual,4,Rear,Not provided,Not provided,Petrol,"111,389"
226,MG,Vantage,MGA 1500,E9,Not provided,1957,Not provided,Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),53/72,1489,4,2,Left (LHD),Manual,Not provided,Rear,Drum,Drum,Petrol,"31,763"
227,Jaguar,Golf,3.4 Litre,Serie II,Not provided,1958,Not provided,Not provided,Not provided,Not provided,No,Not provided,Saloon,154/210,3442,6,Not provided,Right (RHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"36,550"
228,Ferrari,E-Class,599 GTB Fiorano,MK I,08/2012,2012,Not provided,Not provided,Not provided,Not provided,No,Not provided,Coupe,456/620,5999,12,2,Left (LHD),Semi-Automatic,6,Rear,Disc,Disc,Petrol,"191,451"
229,AC,E-Class,Cobra Mk IV,Serie I,06/1986,1986,"40,000 mls",Not provided,Not provided,Not provided,Yes,Not provided,Convertible (Roadster),279/380 (Factory: 168/228),4942,8,Not provided,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"191,451"
230,Ford,508,Shelby GT 350,Serie III,Not provided,1966,Not provided,Not provided,Not provided,Not provided,No,Not provided,Coupe,225/306,4727,8,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"287,176"
231,Lancia,1100,Flaminia Berlina,993,02/1962,1962,"21,362 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (4-doors),75/102,2458,6,4,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"3,046"
232,Land Rover,Dino,Defender 90,XP21,Not provided,1992,"153,355 mls",SALLDVAF8HA700873,Not provided,Not provided,No,Not provided,4x4 (Hardtop),50/68,2495,4,3,Left (LHD),Manual,5,4WD,Disc,Drum,Diesel,"17,500"
233,Mercedes-Benz,Delta,CLK 230 Kompressor,R 230,10/1998,1998,"83,000 km",WDB2083471F005905,Not provided,Not provided,No,2,Coupe,142/193,2295,4,2,Left (LHD),Automatic,Not provided,Rear,Disc,Disc,Petrol,"7,397"
234,Volkswagen,Jarama,Beetle 1200 Mexico,R 107,12/1984,1984,"74,000 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (2-doors),25/34,1192,4,2,Left (LHD),Manual,Not provided,Front,Not provided,Not provided,Not provided,"8,615"
235,Porsche,Giulia,911 Turbo 3.0,150,09/1977,1977,"103,430 km",Not provided,Not provided,Not provided,Yes,Not provided,Coupe,180/245,2994,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,"269,771"
236,BMW,911,520i,Typ 17,07/1985,1985,"183,194 km",WBADK510309334118,20 6E B – 04405751,Not provided,No,Not provided,Saloon,92/125,1990,6,4,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"9,137"
237,Honda,DB 7,Prelude,DS,Not provided,1991,"185,062 km",JHMBA41400C200765,Not provided,Not provided,No,Not provided,Coupe,103/140,1944,4,2,Left (LHD),Manual,Not provided,Front,Not provided,Not provided,Petrol,"13,053"
238,Abarth,Mulsanne,Fiat 1000 TC,MK VII,08/1963,1963,"18,665 km",TIPO 1000 NR. 1565149 -1441,TIPO AB210 NR. 160049,Not provided,No,Not provided,Saloon (2-doors),44/60,982,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"51,779"
239,Alfa Romeo,Kappa,Giulietta 1.6,"""Urmodell""",03/1981,1981,"74,635 km",ZAR11650000103350,AR01600 NR. *314919*,Not provided,No,Not provided,Saloon,79/108,1556,4,4,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Not provided,"10,008"
240,Lancia,100,Fulvia Sport 1.3 S (Zagato),W 108,11/1969,1969,"72,393 km",818.362*001990*,818.303 *010403*,Not provided,No,Not provided,Coupe,66/90,1298,4,2,Left (LHD),Manual,Not provided,Front,Disc,Not provided,Petrol,"33,504"
241,Ferrari,R 4,Dino 206 GT,Mustang I Serie 2 | A-Code,01/1969,1969,"74,020 km",00314,135 B 000 000 5080,109,No,Not provided,Coupe,132/180,1986,6,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"604,810"
242,Renault,Clio,R21 GTS Symphonie,W 463,01/1991,1991,"37,158 km",VF1B4820505025838,F2NW754/111941,Not provided,No,Not provided,Saloon (4-doors),66/90,1721,4,4,Left (LHD),Manual,Not provided,Not provided,Not provided,Not provided,Petrol,"4,786"
243,Bugatti,Defender,Type 44,W 463,04/1929,1929,"19,086 km",44477,44477,Not provided,No,Not provided,Convertible,59/80,2991,8,Not provided,Right (RHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"739,696"
244,Lancia,700,Prisma 1500,NA1,05/1984,1984,"186,068 km",ZLA831AB0*03079482*,831A1.000 5090956,Not provided,No,Not provided,Saloon,63/85,1498,4,Not provided,Left (LHD),Manual,Not provided,Front,Not provided,Not provided,Petrol,"3,046"
245,Alfa Romeo,Skyline,RZ,TA6,03/1995,1995,"16,761 km",ZAR162000*03002094*,AR61501*001153*,Not provided,Yes,Not provided,Convertible (Roadster),154/210,2959,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,"108,779"
246,Volkswagen,MGB,"Beetle 1302 S ""Weltmeister""",991.1,07/1973,1972,"72,500 km",1122488344,AD4 11580,Not provided,No,Not provided,Saloon (2-doors),37/50,1584,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"22,887"
247,Alfa Romeo,Silver Spirit,75 1.8 Turbo Evoluzione,Serie XIII,04/1987,1987,"67,000 km",Not provided,Not provided,Not provided,Yes,Not provided,Saloon (4-doors),114/155,1762,4,4,Left (LHD),Manual,Not provided,Rear,Disc,Not provided,Petrol,"60,046"
248,Maserati,3000,Mistral 3700,K2XX,01/1964,1964,"10,802 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,180/245,3692,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,"138,367"
249,Porsche,308,911 GT2,Serie VI,01/2008,2008,"62,850 km",Not provided,Not provided,Not provided,Yes,1,Coupe,390/530,3600,6,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,"145,328"
250,Porsche,XJ S,911 Carrera 4S,Tipo 105,11/2009,2009,"63,500 km",Not provided,Not provided,Not provided,Yes,2,Convertible,283/385,3800,6,2,Left (LHD),Manual,Not provided,4WD,Disc,Disc,Petrol,"71,794"
251,Porsche,924,911 Targa 4,Serie I,04/2017,2017,"30,700 km",Not provided,Not provided,Not provided,Yes,Not provided,Convertible (Targa),272/370,2981,6,2,Left (LHD),Automatic,7,4WD,Disc,Disc,Petrol,"121,824"
252,Porsche,Range Rover,911 Turbo 3.3,Series II,10/1985,1985,"73,000 km",Not provided,Not provided,Not provided,Yes,Not provided,Coupe,221/300,3299,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,"128,794"
253,Porsche,Interceptor,911 2.4 T,140,01/1973,1973,"85,180 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,96/130,2341,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,"85,205"
254,Alfa Romeo,Elise,4C,MK I,01/2016,2016,"14,000 km",Not provided,Not provided,Not provided,Yes,1,Coupe,177/241,1742,4,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,"83,542"
255,BMW,911,M3,E 30 (Z),Not provided,1987,"256,160 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (2-doors),147/200,2302,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,"40,000"
256,Porsche,Z3,911 Carrera,150,03/2013,2013,"124,500 km",Not provided,Not provided,Not provided,Yes,2,Coupe,257/350,3436,6,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,"60,829"
257,Mercedes-Benz,Sierra,CLK 230 Kompressor,Serie III,Not provided,1999,"160,429 km",WDB2084471T025820,Not provided,Not provided,No,3,Convertible,142/193,2295,4,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"6,005"
258,FIAT,XK,1100 S,Sierra '87 - Serie II,Not provided,1948,"4,113 km",Not provided,Not provided,Not provided,Yes,Not provided,Coupe,37/50,1089,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"430,764"
259,Daimler,356,Double Six Vanden Plas,300E,Not provided,1979,23 mls,Not provided,Not provided,Not provided,No,Not provided,Saloon (4-doors),213/289,5344,12,4,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,"36,985"
260,Austin-Healey,Esprit,3000 Mk III (BJ8),150,Not provided,1966,Not provided,Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),109/148,2912,6,2,Left (LHD),Manual,Not provided,Rear,Disc,Drum,Petrol,"51,779"
261,Austin-Healey,911,100/4 (BN2),Serie I,Not provided,1956,"44,000 km",Not provided,Not provided,Not provided,Yes,Not provided,Convertible,66/90,2660,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,"73,970"
262,FIAT,Sierra,500 C Topolino,Serie II,Not provided,1951,"60,968 km",Not provided,Not provided,Not provided,No,Not provided,Convertible (Saloon),12/16,569,4,Not provided,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,"95,725"
263,FIAT,Patent-Motorcar,Dino Spider,Serie I,Not provided,1967,"51,769 km",Not provided,Not provided,Not provided,No,Not provided,Convertible,118/160,1987,6,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"108,779"
264,Ferrari,Sierra,330 GTC,SP,Not provided,1968,"18,608 km",Not provided,Not provided,Not provided,Yes,Not provided,Coupe,221/300,3967,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,"587,405"
265,Ferrari,SL-Class,250 GT Europa,Serie II A,Not provided,1954,"52,017 km",Not provided,Not provided,Not provided,Yes,Not provided,Coupe,162/220,2953,12,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,rice on request
266,Ferrari,Civic,365 GTC/4,S2,Not provided,1972,"75,877 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,250/340,4390,12,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"204,504"
267,Ferrari,Escort,California,Typ RD,Not provided,2010,"56,396 km",Not provided,Not provided,Not provided,Yes,Not provided,Convertible,338/460,4297,8,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,"103,557"
268,Ferrari,Escort,Dino 246 GT,B Serie I,Not provided,1972,"11,003 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,143/195,2418,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,"295,008"
269,Maserati,Clio,Mistral 4000,R 107,Not provided,1968,Not provided,Not provided,Not provided,Not provided,Yes,Not provided,Coupe,188/255,4014,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,"147,069"
270,Austin-Healey,Lancer,Sprite Mk II (HAN7),"""G-Modell""",Not provided,1963,Not provided,Not provided,Not provided,Not provided,No,2,Convertible (Roadster),40/55,1098,4,2,Right (RHD),Manual,Not provided,Rear,Drum,Drum,Petrol,"6,527"
271,Alfa Romeo,Standard,6C 2500 Sport,964,Not provided,1942,1 km,Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),70/95,2443,6,2,Right (RHD),Manual,4,Rear,Drum,Drum,Petrol,rice on request
272,Alfa Romeo,DBS,1900 C Super Sprint Touring,996,Not provided,1955,Not provided,Not provided,Not provided,Not provided,No,Not provided,Coupe,85/115,1975,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,rice on request
273,Alpine,Lancer,A 310 V6,997.1,09/1982,1982,"104,368 km",Not provided,Not provided,Not provided,No,2,Convertible,110/150,2664,6,2,Left (LHD),Manual,Not provided,Rear,Disc,Not provided,Petrol,"25,976"
274,Volkswagen,ES 30,Golf Mk II GTi 16V 1.8,P6,01/1990,1990,"187,000 km",Not provided,Not provided,Not provided,No,3,Saloon,95/129,1781,4,5,Left (LHD),Manual,Not provided,Front,Disc,Disc,Petrol,"13,053"
275,Mercedes-Benz,944,450 SEL,B,03/1975,1975,"75,000 mls",Not provided,Not provided,Not provided,No,Not provided,Saloon (4-doors),165/225,4520,8,4,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,"30,023"
276,Aston Martin,Mk II,V8 Vantage Roadster,ADO 30,05/2010,2010,"64,300 km",Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),313/426,4735,8,2,Left (LHD),Automatic,Not provided,Rear,Disc,Disc,Petrol,"60,829"
277,Volkswagen,Defender,Golf Mk I Convertible 1.8,ADO 30,Not provided,1989,"54,000 mls",Not provided,Not provided,Not provided,No,Not provided,Convertible,82/112,1781,4,Not provided,Left (LHD),Automatic,Not provided,Front,Not provided,Not provided,Not provided,"8,000"
278,Mercedes-Benz,F 355,230 CE,Serie 2,01/1989,1989,"195,000 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,100/136,2299,4,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"7,745"
279,Mercedes-Benz,750,230 E,Serie III,08/1985,1985,"185,000 km",WDB1232231A256094,Not provided,Not provided,No,Not provided,Saloon (4-doors),100/136,2276,4,4,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"7,745"
280,FIAT,360,508 S Balilla Sport,MA70/71,Not provided,1935,"12,000 km",Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),26/36,995,4,Not provided,Not specified,Manual,Not provided,Rear,Not provided,Not provided,Petrol,rice on request
281,FIAT,Sprite,1100 E,"""G-Modell""",Not provided,1952,"17,000 km",Not provided,Not provided,Not provided,No,Not provided,Saloon,26/36,1089,4,Not provided,Not specified,Manual,Not provided,Rear,Not provided,Not provided,Petrol,rice on request
282,Ferrari,E-Type,Dino 208 GT4,831,Not provided,1976,1 km,Not provided,Not provided,Not provided,No,Not provided,Coupe,125/170,1991,8,2,Not specified,Manual,Not provided,Not provided,Disc,Disc,Petrol,"47,863"
283,Lancia,Firebird,"Delta HF Integrale Evoluzione I ""Martini 5""","""Classic""",Not provided,1992,"54,650 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (4-doors),154/210,1995,4,4,Not specified,Manual,5,4WD,Disc,Disc,Petrol,"165,344"
284,Lamborghini,500,Jarama 400 GT,MK I,Not provided,1971,"61,900 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,257/350,3929,12,2,Not specified,Manual,Not provided,Rear,Disc,Disc,Petrol,"204,504"
285,Aston Martin,XJ S,Rapide,A 124,Not provided,2010,"94,500 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (4-doors),351/477,5935,12,4,Not specified,Automatic,6,Rear,Disc,Disc,Petrol,"65,267"
286,Porsche,XJ S,Carrera GT,Series III,Not provided,2005,"19,500 km",Not provided,Not provided,Not provided,No,Not provided,Convertible (Targa),450/612,5733,10,2,Not specified,Manual,6,Rear,Disc,Disc,Petrol,rice on request
287,Alfa Romeo,Defender,Giulia Quadrifoglio,"""G-Modell""",Not provided,2017,"28,150 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (4-doors),375/510,2891,6,4,Not specified,Manual,Not provided,Rear,Disc,Disc,Petrol,"77,450"
288,Porsche,911,911 Carrera 4S,DX,Not provided,2014,"80,500 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,294/400,3800,6,2,Not specified,Automatic,6,4WD,Disc,Disc,Petrol,"86,153"
289,Aston Martin,928,DB 7 Vantage Volante,W 121 B II,Not provided,1999,"73,883 km",Not provided,Not provided,Not provided,No,Not provided,Convertible,313/426,5935,12,2,Not specified,Manual,Not provided,Rear,Disc,Disc,Petrol,rice on request
290,Bentley,3 Series,Mulsanne Turbo,MK I,Not provided,1984,"12,550 km",Not provided,Not provided,Not provided,Yes,Not provided,Saloon,220/299,6750,8,Not provided,Left (LHD),Automatic,Not provided,Rear,Not provided,Not provided,Petrol,rice on request
291,Lancia,Lancer,Kappa Coupé 2.0 16V Turbo,Serie 50,Not provided,1997,"132,261 km",Not provided,Not provided,Not provided,Yes,Not provided,Coupe,151/205,1995,4,2,Left (LHD),Manual,5,Front,Disc,Disc,Petrol,rice on request
292,Land Rover,Capri,88,Serie I,Not provided,1978,"12,589 km",Not provided,Not provided,Not provided,Yes,Not provided,4x4 (Open),57/77,2286,4,Not provided,Left (LHD),Manual,Not provided,4WD,Not provided,Not provided,Petrol,rice on request
293,Austin-Healey,Mustang,100/6 (BN4),Corvair 95,Not provided,1957,1 mls,Not provided,Not provided,Not provided,No,Not provided,Convertible,86/117,2639,6,2,Right (RHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,rice on request
294,Renault,GTV,R 4 TL,X100,01/1984,1984,"7,000 km",Not provided,Not provided,Not provided,No,Not provided,Saloon,25/34,845,4,4,Left (LHD),Manual,4,Not provided,Not provided,Not provided,Petrol,"10,878"
295,Renault,V8,Clio I Williams,E24,Not provided,1994,1 mls,Not provided,Not provided,Not provided,No,Not provided,Small car (Small Car),108/147,1998,4,Not provided,Right (RHD),Manual,5,Front,Not provided,Not provided,Petrol,rice on request
296,Land Rover,Defender,Defender 90 Challenge,E9,Not provided,2014,1 mls,Not provided,Not provided,Not provided,No,Not provided,4x4,127/172,2198,4,3,Right (RHD),Manual,6,4WD,Disc,Disc,Diesel,rice on request
297,BMW,Defender,700 Coupe,Typ 326,01/1960,1960,"97,593 km",Not provided,Not provided,Not provided,Yes,Not provided,Coupe,22/30,697,2,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Not provided,"19,580"
298,Nissan,Defender,Skyline GT-R,E31,Not provided,1998,1 mls,Not provided,Not provided,Not provided,No,Not provided,Coupe,206/280,2569,6,2,Right (RHD),Manual,5,4WD,Disc,Disc,Petrol,rice on request
299,MG,Defender,MGB Lightweight,E89,Not provided,1972,1 mls,Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),71/96 (Factory: 87/118),1798,4,2,Right (RHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,rice on request
300,Rolls-Royce,Escort,New Silver Spirit,E 36-8S,Not provided,1996,1 mls,Not provided,Not provided,Not provided,No,Not provided,Saloon (4-doors),206/280,6745,8,4,Right (RHD),Automatic,4,Rear,Disc,Disc,Petrol,rice on request
301,Austin-Healey,E-Type,3000 Mk I (BT7),Serie III,Not provided,1960,1 mls,Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),91/124,2912,6,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,rice on request
302,Ferrari,Type 87,308 GTSi Quattrovalvole,Serie I,Not provided,1984,1 mls,Not provided,Not provided,Not provided,No,Not provided,Convertible (Targa),173/235,2926,8,2,Right (RHD),Manual,5,Rear,Disc,Disc,Petrol,rice on request
303,Jaguar,Corniche,XJ-S H.E.,Serie I,Not provided,1982,1 mls,Not provided,Not provided,Not provided,No,Not provided,Coupe,220/299,5343,12,2,Right (RHD),Automatic,3,Rear,Disc,Disc,Petrol,rice on request
304,Porsche,Mini,924 Turbo,X100,Not provided,1980,1 mls,Not provided,Not provided,Not provided,No,Not provided,Coupe,130/177,1984,4,2,Right (RHD),Manual,5,Rear,Disc,Disc,Petrol,rice on request
305,Land Rover,Camaro,Range Rover Classic 3.5,NA,Not provided,1973,1 mls,Not provided,Not provided,Not provided,No,Not provided,4x4,97/132,3532,8,Not provided,Right (RHD),Manual,Not provided,4WD,Disc,Disc,Petrol,rice on request
306,Jensen,3500 Gti,Interceptor MK III,930,Not provided,1973,1 mls,Not provided,Not provided,Not provided,No,Not provided,Coupe,243/330,6276,8,Not provided,Right (RHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,rice on request
307,Land Rover,1900,Defender,Ascona B,Not provided,2016,"17,500 mls",Not provided,Not provided,Not provided,No,Not provided,4x4,90/122,2198,4,4,Right (RHD),Manual,6,4WD,Disc,Disc,Diesel,"70,000"
308,Lotus,Capri,Elise 111,C3 Serie I,Not provided,1997,1 mls,Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),90/122,1796,4,2,Right (RHD),Manual,Not provided,Rear,Disc,Disc,Petrol,rice on request
309,Porsche,E-Type,911 2.0,Typ 57,Not provided,1966,1 mls,Not provided,Not provided,Not provided,No,Not provided,Coupe,96/130,1991,6,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,rice on request
310,BMW,Mini,Z3 M Coupé,Phase II B,Not provided,2002,1 mls,Not provided,Not provided,Not provided,No,Not provided,Coupe,239/325,3201,6,3,Right (RHD),Manual,Not provided,Rear,Disc,Disc,Petrol,rice on request
311,Lanchester,Fiesta,LE 27,E12,Not provided,1945,1 mls,Not provided,Not provided,Not provided,No,Not provided,Convertible (Tourer),81/110,4095,6,4,Right (RHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,rice on request
312,Ford,200,Sierra RS Cosworth,Typ 17,Not provided,1986,1 mls,Not provided,Not provided,Not provided,No,Not provided,Saloon (3-doors),150/204,1993,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,rice on request
313,Jaguar,Interceptor,XK 150 3.4 S FHC,Mk II,Not provided,1959,1 mls,Not provided,Not provided,Not provided,No,Not provided,Coupe,187/254,3442,6,2,Right (RHD),Manual,Not provided,Rear,Drum,Drum,Petrol,rice on request
314,Porsche,RX-7,356 A Carrera 1500 GS,E30,Not provided,1957,"29,300 mls",Not provided,Not provided,Not provided,No,Not provided,Convertible,74/100,1498,4,2,Left (LHD),Manual,Not provided,Not provided,Not provided,Not provided,Not provided,rice on request
315,MG,Alpine,MGC,Serie I,Not provided,1969,1 mls,Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),108/147,2912,6,2,Right (RHD),Manual,Not provided,Rear,Disc,Drum,Petrol,rice on request
316,Lotus,928,Esprit V8 BiTurbo,Mégane III,Not provided,2002,1 mls,Not provided,Not provided,Not provided,No,Not provided,Coupe,260/354,3506,8,2,Right (RHD),Manual,5,Rear,Disc,Disc,Petrol,rice on request
317,Porsche,RS,911 Turbo,R 107,Not provided,2003,1 mls,Not provided,Not provided,Not provided,No,Not provided,Convertible,309/420,3598,6,2,Right (RHD),Manual,Not provided,4WD,Disc,Disc,Petrol,rice on request
318,Ford,Escort,Sierra Sapphire 2.0 GLS,R 107,Not provided,1991,1 mls,Not provided,Not provided,Not provided,No,Not provided,Saloon (4-doors),92/125,1998,4,4,Right (RHD),Manual,Not provided,Rear,Disc,Not provided,Petrol,rice on request
319,Benz,TX,Patent-Motorcar Number 1 Replica,R 107,Not provided,1886,1 mls,Not provided,Not provided,Not provided,No,Not provided,Convertible (Three-Wheeler),1/1,954,1,Not provided,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,rice on request
320,Ford,Escort,Sierra RS Cosworth,R 107,Not provided,1993,1 mls,Not provided,Not provided,Not provided,No,Not provided,Saloon (4-doors),150/204,1993,4,2,Right (RHD),Manual,5,Rear,Disc,Disc,Petrol,rice on request
321,Mercedes-Benz,E-Serie,300 SL,R 107,Not provided,1989,"47,000 mls",Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),132/180,2962,6,2,Right (RHD),Automatic,Not provided,Rear,Disc,Disc,Petrol,"35,000"
322,Honda,Range Rover,Civic Type R,C 107,Not provided,2005,1 mls,Not provided,Not provided,Not provided,No,Not provided,Saloon (Hatchback),147/200,1998,4,3,Right (RHD),Manual,6,Front,Disc,Disc,Petrol,rice on request
323,Ford,300,Escort RS 2000,R 107,Not provided,1973,1 mls,Not provided,Not provided,Not provided,No,Not provided,Saloon (2-doors),74/100,1993,4,2,Right (RHD),Manual,Not provided,Rear,Not provided,Not provided,Not provided,rice on request
324,Ford,Elite,Escort RS Cosworth,R 107,Not provided,1997,1 mls,Not provided,Not provided,Not provided,No,Not provided,Coupe,162/220,1993,4,2,Left (LHD),Manual,Not provided,4WD,Not provided,Not provided,Petrol,rice on request
325,Renault,190,Clio II V6,MK I,Not provided,2002,1 mls,Not provided,Not provided,Not provided,No,Not provided,Small car (Small Car),166/226,2946,6,3,Right (RHD),Manual,6,Rear,Disc,Disc,Petrol,rice on request
326,Mitsubishi,Harrington,Lancer Evolution VI,"""G-Modell""",Not provided,1999,1 mls,Not provided,Not provided,Not provided,No,Not provided,Saloon (4-doors),206/280,1997,4,4,Right (RHD),Manual,5,4WD,Disc,Disc,Petrol,rice on request
327,Lamborghini,Shogun,Gallardo,997.1,Not provided,2005,1 mls,Not provided,Not provided,Not provided,No,Not provided,Coupe,382/520,4961,10,2,Right (RHD),Manual,6,4WD,Disc,Disc,Petrol,rice on request
328,Porsche-Diesel,XE,Standard 218,C 190,Not provided,1960,1 mls,Not provided,Not provided,Not provided,No,Not provided,Utility Vehicle (Tractor),18/25,1644,2,0,Right (RHD),Manual,5,Rear,Drum,Drum,Diesel,rice on request
329,Aston Martin,F-Type,DBS Superleggera,986,Not provided,2020,1 mls,Not provided,Not provided,Not provided,No,Not provided,Coupe,533/725,5204,12,2,Right (RHD),Automatic,8,Rear,Disc,Disc,Petrol,rice on request
330,Mitsubishi,Escort,Lancer Evolution X,JK,Not provided,2010,1 mls,Not provided,Not provided,Not provided,No,Not provided,Saloon (4-doors),217/295,1998,4,4,Right (RHD),Manual,Not provided,4WD,Disc,Disc,Petrol,rice on request
331,Alfa Romeo,Impreza,Montreal,991.1,Not provided,1972,1 mls,Not provided,Not provided,Not provided,No,Not provided,Coupe,143/195,2593,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,rice on request
332,Alfa Romeo,Elan,SZ,986,Not provided,1990,1 mls,Not provided,Not provided,Not provided,No,Not provided,Coupe,154/210,2959,6,2,Right (RHD),Manual,5,Rear,Disc,Disc,Petrol,rice on request
